gene_id;transcript_id
Bradi1g39208;Bradi1g39208.1
Bradi1g39209;Bradi1g39209.1
Bradi1g39204;Bradi1g39204.1
Bradi1g39207;Bradi1g39207.1
Bradi1g39201;Bradi1g39201.1
Bradi1g39202;Bradi1g39202.2
Bradi1g39203;Bradi1g39203.1
Bradi1g39216;Bradi1g39216.1
Bradi1g39217;Bradi1g39217.1
Bradi1g39211;Bradi1g39211.1
Bradi1g39212;Bradi1g39212.1
Bradi1g39214;Bradi1g39214.1
Bradi1g05801;Bradi1g05801.1
Bradi1g05804;Bradi1g05804.1
Bradi1g05805;Bradi1g05805.1
Bradi2g30448;Bradi2g30448.1
Bradi4g17461;Bradi4g17461.1
Bradi4g17462;Bradi4g17462.1
Bradi3g17193;Bradi3g17193.1
Bradi3g17187;Bradi3g17187.1
Bradi2g03103;Bradi2g03103.1
Bradi2g03106;Bradi2g03106.1
XLOC_040993;NewBD_00161216
Bradi4g03023;Bradi4g03023.1
Bradi4g17639;Bradi4g17639.1
Bradi1g54493;Bradi1g54493.2
Bradi2g42806;Bradi2g42806.2
Bradi4g17010;Bradi4g17010.1
Bradi4g17001;Bradi4g17001.2
Bradi2g03624;Bradi2g03624.1
Bradi4g19732;Bradi4g19732.1
Bradi4g19727;Bradi4g19727.2
Bradi1g17532;Bradi1g17532.2
Bradi5g05687;Bradi5g05687.1
Bradi5g05675;Bradi5g05675.1
Bradi5g05668;Bradi5g05668.2
Bradi3g27735;Bradi3g27735.1
Bradi4g01015;Bradi4g01015.1
Bradi4g37058;Bradi4g37058.2
Bradi4g37050;Bradi4g37050.1
Bradi1g78076;Bradi1g78076.2
Bradi1g78086;Bradi1g78086.2
Bradi3g27306;Bradi3g27306.2
Bradi3g27303;Bradi3g27303.1
Bradi3g27300;Bradi3g27300.1
Bradi3g27318;Bradi3g27318.1
Bradi3g27315;Bradi3g27315.2
Bradi3g27312;Bradi3g27312.1
Bradi3g27328;Bradi3g27328.1
Bradi3g27337;Bradi3g27337.1
Bradi3g27330;Bradi3g27330.1
Bradi3g27335;Bradi3g27335.1
Bradi3g27333;Bradi3g27333.1
Bradi3g27346;Bradi3g27346.1
Bradi1g32886;Bradi1g32886.1
Bradi4g17694;Bradi4g17694.1
Bradi3g27266;Bradi3g27266.2
Bradi3g27264;Bradi3g27264.1
Bradi3g27273;Bradi3g27273.1
Bradi3g27277;Bradi3g27277.1
Bradi3g27281;Bradi3g27281.1
Bradi3g27288;Bradi3g27288.1
Bradi3g27285;Bradi3g27285.1
Bradi3g27286;Bradi3g27286.1
Bradi3g27289;Bradi3g27289.1
Bradi3g27291;Bradi3g27291.1
Bradi3g27295;Bradi3g27295.1
Bradi1g46652;Bradi1g46652.1
Bradi1g46654;Bradi1g46654.1
Bradi2g07775;Bradi2g07775.1
Bradi4g17790;Bradi4g17790.1
Bradi4g17742;Bradi4g17742.1
Bradi4g17820;Bradi4g17820.1
Bradi2g20961;Bradi2g20961.2
Bradi2g20966;Bradi2g20966.1
Bradi2g20970;Bradi2g20970.1
Bradi2g20973;Bradi2g20973.1
Bradi2g20977;Bradi2g20977.1
Bradi2g20993;Bradi2g20993.1
Bradi2g20997;Bradi2g20997.2
Bradi1g32454;Bradi1g32454.1
Bradi2g36785;Bradi2g36785.1
Bradi1g47516;Bradi1g47516.1
Bradi1g47515;Bradi1g47515.1
Bradi1g47517;Bradi1g47517.1
Bradi1g47512;Bradi1g47512.1
Bradi1g70165;Bradi1g70165.1
Bradi1g33306;Bradi1g33306.1
Bradi5g13944;Bradi5g13944.1
Bradi2g46432;Bradi2g46432.1
Bradi3g37311;Bradi3g37311.1
Bradi3g03945;Bradi3g03945.1
Bradi3g03941;Bradi3g03941.1
Bradi3g03943;Bradi3g03943.1
Bradi3g03949;Bradi3g03949.1
Bradi3g03938;Bradi3g03938.1
Bradi4g10666;Bradi4g10666.1
Bradi5g23815;Bradi5g23815.1
Bradi1g74434;Bradi1g74434.1
XLOC_041203;NewBD_00161379
Bradi4g34956;Bradi4g34956.1
Bradi5g23867;Bradi5g23867.1
Bradi5g23861;Bradi5g23861.1
Bradi5g23874;Bradi5g23874.1
Bradi5g23847;Bradi5g23847.1
Bradi5g23857;Bradi5g23857.1
Bradi5g23854;Bradi5g23854.1
Bradi5g23851;Bradi5g23851.2
Bradi5g23839;Bradi5g23839.1
Bradi5g23836;Bradi5g23836.1
Bradi5g23837;Bradi5g23837.1
Bradi1g01692;Bradi1g01692.1
Bradi2g26906;Bradi2g26906.1
Bradi2g26754;Bradi2g26754.1
Bradi3g45005;Bradi3g45005.1
Bradi4g10447;Bradi4g10447.2
