Gene1;Gene2
AT3G59260;AT3G59220
AT4G05260;AT4G05240
AT1G22570;AT1G22550
AT3G25260;AT3G25280
AT3G45680;AT3G45690
AT5G46050;AT5G46040
AT3G23560;AT3G23550
AT3G08570;AT3G08660
AT2G24000;AT2G24010
AT4G25470;AT4G25480
AT3G27080;AT3G27070
AT5G60920;AT5G60950
AT4G29620;AT4G29630
AT1G50560;AT1G50520
AT1G64940;AT1G64950
AT1G74540;AT1G74550
AT2G27000;AT2G27010
AT2G30770;AT2G30750
AT2G45570;AT2G45560
AT3G20110;AT3G20120
AT3G20950;AT3G20940
AT3G26190;AT3G26200
AT4G37340;AT4G37360
AT5G25130;AT5G25120
AT1G23240;AT1G23250
AT3G21520;AT3G21550
AT2G17070;AT2G17080
AT4G35200;AT4G35210
AT4G35690;AT4G35710
AT1G31630;AT1G31640
AT3G62000;AT3G61990
AT1G29600;AT1G29570
AT3G44560;AT3G44550
AT1G27570;AT1G27590
AT4G15630;AT4G15620
AT2G41800;AT2G41810
AT1G05550;AT1G05540
AT2G02100;AT2G02120
AT1G63470;AT1G63480
AT1G23570;AT1G23580
AT2G27720;AT2G27710
AT1G56520;AT1G56510
AT1G63740;AT1G63730
AT1G63880;AT1G63870
AT5G18370;AT5G18350
AT5G38350;AT5G38340
AT5G45070;AT5G45080
AT5G46520;AT5G46510
AT1G65120;AT1G65110
AT3G57460;AT3G57470
AT3G28790;AT3G28830
AT5G17720;AT5G17780
AT1G35730;AT1G35750
AT5G39080;AT5G39050
AT1G50060;AT1G50050
AT2G14580;AT2G14610
AT2G19970;AT2G19980
AT1G16710;AT1G16705
AT5G07860;AT5G07870
AT4G38180;AT4G38170
AT4G26530;AT4G26520
AT5G49390;AT5G49380
AT4G21590;AT4G21600
AT1G60470;AT1G60450
AT5G56910;AT5G56920
AT4G08480;AT4G08500
AT4G29260;AT4G29270
AT1G18970;AT1G18980
AT1G12210;AT1G12220
AT4G27220;AT4G27190
AT5G43740;AT5G43730
AT1G20150;AT1G20160
AT1G32960;AT1G32950
AT1G66210;AT1G66220
AT4G10510;AT4G10540
AT4G21640;AT4G21630
AT5G45640;AT5G45650
AT5G59090;AT5G59120
AT2G23410;AT2G23400
AT3G17690;AT3G17700
AT1G02300;AT1G02305
AT1G29110;AT1G29080
AT3G17080;AT3G16970
AT5G20940;AT5G20950
AT4G34320;AT4G34330
AT5G66660;AT5G66670
AT3G28540;AT3G28520
AT3G50930;AT3G50940
AT2G29110;AT2G29100
AT5G11210;AT5G11180
AT5G48400;AT5G48410
AT3G26770;AT3G26760
AT3G29250;AT3G29260
AT1G72970;AT1G73050
AT5G59320;AT5G59310
AT5G25950;AT5G25960
AT2G03760;AT2G03770
AT5G07010;AT5G07000
AT1G31500;AT1G31530
AT3G58560;AT3G58580
AT3G06630;AT3G06640
AT3G50720;AT3G50730
AT1G71890;AT1G71880
AT3G44580;AT3G44570
AT5G45540;AT5G45480
AT1G21540;AT1G21530
AT1G65880;AT1G65890
AT2G39790;AT2G39795
AT1G11340;AT1G11410
AT1G53430;AT1G53440
AT1G61460;AT1G61420
AT4G00960;AT4G00970
AT4G11470;AT4G11480
AT4G21400;AT4G21410
AT4G23280;AT4G23270
AT4G27290;AT4G27300
AT4G15320;AT4G15290
AT4G24000;AT4G24010
AT2G33600;AT2G33590
AT2G45600;AT2G45610
AT3G48690;AT3G48700
AT5G61070;AT5G61060
AT1G65740;AT1G65760
AT1G27360;AT1G27370
AT5G55370;AT5G55380
AT4G17470;AT4G17480
AT5G47330;AT5G47340
AT1G51290;AT1G51320
AT3G20700;AT3G20690
AT3G49510;AT3G49520
AT1G76650;AT1G76640
AT3G06460;AT3G06470
AT5G66630;AT5G66620
AT1G31830;AT1G31820
AT2G22760;AT2G22770
AT5G07770;AT5G07780
AT3G28480;AT3G28490
AT5G07540;AT5G07530
AT1G79340;AT1G79330
AT1G50110;AT1G50090
AT1G14650;AT1G14640
AT2G38750;AT2G38760
AT5G10230;AT5G10220
AT4G14230;AT4G14240
AT1G36160;AT1G36180
AT3G13090;AT3G13100
AT3G50190;AT3G50140
AT4G25660;AT4G25680
AT3G08630;AT3G08640
AT3G08730;AT3G08720
AT4G39000;AT4G39010
AT5G28030;AT5G28020
AT1G34180;AT1G34190
AT4G04760;AT4G04750
AT5G27350;AT5G27360
AT1G27940;AT1G28010
AT3G28390;AT3G28360
AT5G53100;AT5G53090
AT5G08620;AT5G08610
AT4G37990;AT4G37980
AT1G60380;AT1G60350
AT2G17170;AT2G17090
AT5G23770;AT5G23800
AT3G03240;AT3G03230
AT3G14650;AT3G14660
AT5G24900;AT5G24910
AT2G34500;AT2G34490
AT1G35290;AT1G35250
AT4G29680;AT4G29690
AT1G66450;AT1G66440
AT2G02620;AT2G02690
AT2G17600;AT2G17590
AT3G07000;AT3G06990
AT3G27500;AT3G27510
AT3G46800;AT3G46810
AT3G59130;AT3G59120
AT4G01910;AT4G01930
AT5G43030;AT5G43040
AT5G59930;AT5G59940
AT1G14930;AT1G14940
AT1G35310;AT1G35260
AT1G70850;AT1G70830
AT3G26460;AT3G26450
AT4G23670;AT4G23680
AT5G51870;AT5G51860
AT2G28760;AT2G28755
AT3G46030;AT3G45980
AT2G32740;AT2G32750
AT4G27150;AT4G27160
AT4G20830;AT4G20840
AT5G44410;AT5G44440
AT5G01690;AT5G01680
AT1G01390;AT1G01420
AT1G05560;AT1G05530
AT1G22360;AT1G22370
AT1G64910;AT1G64920
AT2G15480;AT2G15490
AT2G23210;AT2G23250
AT2G29750;AT2G29740
AT2G30150;AT2G30140
AT2G43820;AT2G43840
AT3G21790;AT3G21800
AT3G46660;AT3G46670
AT3G55700;AT3G55710
AT4G15260;AT4G15270
AT4G15500;AT4G15490
AT5G05880;AT5G05890
AT5G17040;AT5G17030
AT5G59580;AT5G59590
AT2G29320;AT2G29300
AT5G37990;AT5G37970
AT3G18460;AT3G18450
AT1G03410;AT1G03400
AT1G04350;AT1G04380
AT1G06650;AT1G06640
AT1G14130;AT1G14120
AT3G19000;AT3G19010
AT3G49630;AT3G49620
AT4G03070;AT4G03050
AT4G10490;AT4G10500
AT5G43440;AT5G43450
AT5G59540;AT5G59530
AT1G66970;AT1G66980
AT1G02470;AT1G02475
AT1G20620;AT1G20630
AT1G21670;AT1G21680
AT1G22970;AT1G22980
AT1G23910;AT1G24000
AT1G26590;AT1G26610
AT1G29390;AT1G29395
AT1G29870;AT1G29880
AT1G56030;AT1G56040
AT1G67440;AT1G67460
AT2G02380;AT2G02390
AT2G05380;AT2G05530
AT2G16950;AT2G16960
AT2G18680;AT2G18690
AT2G19380;AT2G19385
AT2G23110;AT2G23120
AT2G24250;AT2G24255
AT2G27280;AT2G27285
AT2G27960;AT2G27970
AT2G32020;AT2G32030
AT2G32160;AT2G32170
AT2G39020;AT2G39030
AT2G42530;AT2G42540
AT2G44195;AT2G44200
AT3G01670;AT3G01680
AT3G02580;AT3G02590
AT3G06680;AT3G06700
AT3G09960;AT3G09970
AT3G16220;AT3G16230
AT3G16660;AT3G16670
AT3G17130;AT3G17140
AT3G23570;AT3G23600
AT3G48080;AT3G48090
AT3G48960;AT3G49010
AT3G50685;AT3G50690
AT3G51690;AT3G51700
AT3G55000;AT3G55005
AT3G61090;AT3G61100
AT3G61390;AT3G61410
AT4G03160;AT4G03170
AT4G05270;AT4G05310
AT4G10670;AT4G10710
AT4G10930;AT4G10940
AT4G11930;AT4G11940
AT4G14430;AT4G14440
AT4G16170;AT4G16180
AT4G27652;AT4G27657
AT4G32960;AT4G32970
AT4G34640;AT4G34650
AT4G37550;AT4G37560
AT4G38750;AT4G38760
AT4G39440;AT4G39450
AT5G03920;AT5G03930
AT5G08370;AT5G08380
AT5G09520;AT5G09530
AT5G10660;AT5G10680
AT5G13740;AT5G13750
AT5G17080;AT5G17140
AT5G18630;AT5G18640
AT5G23220;AT5G23230
AT5G25470;AT5G25475
AT5G26070;AT5G26080
AT5G40270;AT5G40290
AT5G47120;AT5G47130
AT5G47400;AT5G47410
AT5G47480;AT5G47490
AT5G48485;AT5G48490
AT5G48630;AT5G48640
AT5G52300;AT5G52310
AT5G55300;AT5G55310
AT5G56240;AT5G56250
AT5G56770;AT5G56780
AT5G62330;AT5G62340
AT5G64280;AT5G64290
AT5G64890;AT5G64900
AT5G67000;AT5G67010
