query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
AT1G01140.3;XM_010524593.1;0.09032;0.6568;0.1375;82.889;373;450;72;2;5;413;91.78;1;450;452;99;99;1;445;446;0;788;2034
AT1G01170.1;NewID_00014839;0.09208;1.319;0.0698;82.143;69;84;15;0;0;79;94.05;1;84;84;100;100;1;84;105;1.06e-48;149;377
AT1G01180.1;XM_010524598.2;0.1216;0.886;0.1373;75.081;232;309;71;3;6;261;84.47;1;305;308;99;99;1;307;310;2.42e-172;480;1235
AT1G01190.2;XM_010524599.1;0.1314;0.8654;0.1518;77.615;423;545;115;3;7;472;86.61;1;539;541;99;99;1;544;546;0;858;2218
AT1G01200.1;XM_010524600.2;0.08841;1.445;0.06119;82.773;197;238;39;2;2;212;89.08;1;238;238;100;100;1;236;236;1.29e-141;396;1018
AT1G01225.1;XM_010524601.2;0.09727;1.139;0.08539;82.677;210;254;39;2;5;226;88.98;1;249;261;95;95;1;254;258;3.42e-150;420;1079
AT1G01230.1;XM_010524604.2;0.05614;0.7904;0.07102;90.385;141;156;15;0;0;149;95.51;1;156;158;99;99;1;156;157;3.01e-106;300;768
AT1G01240.1;XM_010558305.1;0.2465;0.8712;0.2829;48.404;182;376;116;11;78;232;61.7;11;332;332;97;97;9;360;360;6.72e-105;311;798
AT1G01250.1;XM_010558297.1;0.1382;1.241;0.1114;66.129;123;186;47;6;16;137;73.66;12;191;193;93;93;5;180;182;2.07e-69;209;533
AT1G01260.1;XM_010558296.2;0.1325;1.308;0.1013;69.887;434;621;130;12;57;480;77.29;1;591;591;100;100;1;594;594;0;814;2102
AT1G01280.1;XM_010558295.2;0.07931;0.96;0.08262;84.795;435;513;68;4;10;471;91.81;2;509;511;99;99;11;518;522;0;904;2337
AT1G01290.1;XM_010524612.2;0.2009;0.7917;0.2537;67.05;175;261;66;4;20;198;75.86;9;269;271;96;96;1;241;244;8.34e-113;325;833
AT1G01300.1;XM_019200955.1;0.09082;0.8754;0.1038;80.172;372;464;72;6;20;406;87.5;24;486;486;95;95;19;463;463;0;684;1766
AT1G01305.1;XM_010546128.2;0.5588;NA;NA;35.652;41;115;65;3;9;65;56.52;26;140;142;81;81;20;125;130;9.32e-16;69.3;168
AT1G01310.1;XM_010524616.2;0.2774;1.578;0.1757;69.136;112;162;45;1;5;126;77.78;77;238;242;67;67;178;334;339;2.98e-84;254;650
AT1G01320.1;XM_010524618.2;0.1209;0.6711;0.1802;73.76;1383;1875;364;43;128;1535;81.87;1;1798;1798;100;100;1;1824;1824;0;2615;6778
AT1G01340.2;XM_010524620.1;0.1274;1.066;0.1195;76.462;549;718;149;7;20;620;86.35;1;705;712;99;99;1;711;716;0;1112;2877
AT1G01350.1;XM_010539141.2;0.09502;0.9577;0.09921;80.352;274;341;60;5;7;304;89.15;1;339;344;99;99;1;336;338;0;525;1351
AT1G01360.1;XM_010558292.1;0.07113;0.9212;0.07721;86.559;161;186;25;0;0;173;93.01;2;187;188;99;99;1;186;193;1.38e-121;342;876
AT1G01370.1;XM_010558290.1;0.2312;0.718;0.322;66.111;119;180;56;3;5;136;75.56;1;179;179;100;100;66;241;241;8.55e-77;229;585
AT1G01430.1;XM_010558284.2;0.1801;1.236;0.1457;69.824;317;454;123;7;14;371;81.72;7;455;457;98;98;79;523;524;0;645;1665
AT1G01460.1;XM_010524628.2;0.156;0.8584;0.1817;74.402;311;418;101;3;6;355;84.93;3;419;428;97;97;5;417;430;0;628;1620
AT1G01470.1;XM_010546117.1;0.1696;1.106;0.1533;72.368;110;152;42;0;0;129;84.87;1;152;152;100;100;1;152;152;4.68e-79;231;589
AT1G01480.1;XM_010558272.2;0.1237;1.055;0.1173;77.732;377;485;105;3;3;422;87.01;15;497;497;97;97;1;484;484;0;782;2020
AT1G01490.1;XM_010524645.2;0.1256;1.231;0.102;62.921;112;178;46;2;20;132;74.16;1;178;178;100;100;12;169;169;3.68e-58;180;456
AT1G01500.1;XM_010546111.2;0.1067;0.9508;0.1122;78.154;254;325;56;6;15;279;85.85;7;328;328;98;98;3;315;315;1.02e-180;502;1293
AT1G01510.1;XM_010524647.2;0.08062;0.5939;0.1357;84.448;543;643;94;4;6;584;90.82;1;637;637;100;100;1;643;643;0;1073;2775
AT1G01550.1;NewID_00084313;0.1226;1.02;0.1202;77.874;271;348;71;2;6;304;87.36;1;348;350;99;99;1;342;350;0;530;1366
AT1G01570.2;XM_010524666.1;0.2022;0.9448;0.214;69.485;337;485;134;5;14;391;80.62;36;510;510;93;93;29;509;509;0;693;1788
AT1G01580.1;XM_010558259.1;0.1846;0.9359;0.1972;69.475;503;724;218;3;3;607;83.84;3;726;726;99;99;1;721;721;0;1035;2675
AT1G01630.1;XM_010532477.2;0.1255;1.224;0.1025;77.959;191;245;54;0;0;219;89.39;12;256;256;96;96;13;257;257;1.71e-149;417;1073
AT1G01640.1;NewID_00157488;0.211;0.8709;0.2423;72.081;142;197;54;1;1;160;81.22;1;196;208;94;94;1;197;209;1.28e-98;285;729
AT1G01650.1;XM_010546085.2;0.0879;0.6217;0.1414;87.429;459;525;66;0;0;485;92.38;17;541;541;97;97;16;540;540;0;947;2447
AT1G01660.1;XM_010558241.1;0.1268;0.8986;0.1411;77.138;442;573;123;6;8;500;87.26;1;569;569;100;100;1;569;569;0;850;2197
AT1G01670.1;NewID_00157492;0.2841;0.8709;0.3262;52.219;200;383;151;10;32;253;66.06;1;365;366;99;99;48;416;423;8.62e-116;343;880
AT1G01690.3;XM_010558229.2;0.1819;0.751;0.2422;64.254;293;456;139;8;24;345;75.66;1;451;451;100;100;1;437;437;0;531;1367
AT1G01700.4;XM_010524713.2;0.1325;0.7566;0.1751;72.233;372;515;109;3;34;424;82.33;1;515;516;99;99;64;544;546;0;753;1945
AT1G01710.1;XM_010541979.2;0.1075;0.6904;0.1557;80.186;344;429;84;1;1;391;91.14;1;428;428;100;100;1;429;429;0;727;1876
AT1G01720.1;NewID_00056550;0.1141;0.9171;0.1244;76.333;229;300;53;5;18;252;84;5;290;290;99;99;7;302;302;7.76e-164;457;1176
AT1G01730.1;NewID_00161509;0.3701;1.219;0.3035;54.645;100;183;69;4;14;123;67.21;45;215;225;76;76;45;225;234;5.71e-61;191;485
AT1G01750.2;XM_010546077.1;0.06927;0.7613;0.09098;87.324;124;142;18;0;0;138;97.18;1;142;146;97;97;34;175;178;1.01e-92;266;680
AT1G01760.1;XM_010546079.2;0.1714;0.6646;0.2579;72.512;306;422;110;4;6;342;81.04;4;421;421;99;99;12;431;431;0;597;1539
AT1G01770.1;XM_010524726.1;0.1267;0.6239;0.2031;76.389;495;648;135;7;18;553;85.34;1;631;633;99;99;1;647;649;0;994;2571
AT1G01780.1;NewID_00157983;0.1042;0.728;0.1431;82.09;165;201;35;1;1;184;91.54;1;200;206;97;97;1;201;209;1.11e-125;353;907
AT1G01800.1;XM_010524732.2;0.1186;0.8544;0.1389;81.57;239;293;53;1;1;267;91.13;5;296;296;99;99;7;299;299;4.09e-177;491;1264
AT1G01820.1;XM_010541969.1;0.07194;0.652;0.1103;87.983;205;233;28;0;0;223;95.71;1;233;236;99;99;1;233;236;6.95e-155;429;1104
AT1G01830.1;NewID_00068847;0.13;1.023;0.1271;79.61;449;564;113;2;2;496;87.94;12;575;575;98;98;8;569;569;0;885;2286
AT1G01840.1;XM_010541956.2;0.212;0.8582;0.247;54.194;84;155;50;5;21;100;64.52;1;153;153;100;100;1;136;136;3.01e-42;137;345
AT1G01860.1;XM_010541957.2;0.1196;0.6443;0.1856;77.971;269;345;64;6;12;296;85.8;5;344;344;99;99;3;340;340;0;525;1351
AT1G01880.1;XM_010524747.1;0.1824;0.7842;0.2325;68.309;416;609;180;7;13;480;78.82;1;600;600;100;100;1;605;605;0;796;2056
AT1G01900.1;XM_010541954.2;0.1594;1.262;0.1263;75.236;559;743;168;8;16;639;86;34;775;775;96;96;42;769;769;0;1110;2871
AT1G01910.1;XM_010524755.1;0.05792;0.7257;0.07981;89.773;316;352;35;1;1;333;94.6;1;351;354;99;99;1;352;355;0;629;1623
AT1G01910.5;XM_010524756.1;0.0783;0.7161;0.1093;86.29;214;248;33;1;1;227;91.53;1;247;250;99;99;1;248;251;1.02e-157;438;1126
AT1G01920.1;XM_010524748.1;0.1458;0.6773;0.2153;71.795;420;585;135;6;30;473;80.85;1;569;573;99;99;1;571;575;0;836;2159
AT1G01930.1;XM_010546070.1;0.1622;0.7478;0.2169;70.35;382;543;143;6;18;438;80.66;7;540;581;92;92;2;535;623;0;748;1932
AT1G01940.1;XM_010541952.2;0.01752;0.7984;0.02194;96.894;156;161;5;0;0;159;98.76;1;161;161;100;100;1;161;161;1.34e-116;327;837
AT1G01950.3;XM_010524766.1;0.04728;0.6416;0.07369;88.357;812;919;81;3;26;856;93.14;3;916;916;99;99;1;898;898;0;1652;4279
AT1G01960.1;XM_010541951.2;0.06536;0.6661;0.09811;87.322;1529;1751;210;6;12;1633;93.26;1;1749;1751;99;99;1;1741;1742;0;3113;8072
AT1G01970.1;XM_010546069.2;0.1505;0.7773;0.1936;73.71;300;407;105;2;2;347;85.26;1;406;410;99;99;1;406;409;0;590;1522
AT1G01980.1;XM_010557845.2;0.1822;1.114;0.1636;71.723;383;534;142;4;9;456;85.39;6;537;542;98;98;28;554;559;0;800;2067
AT1G01990.1;XM_010541950.2;0.2296;2.456;0.09347;64.372;159;247;75;5;13;188;76.11;1;240;246;98;98;1;241;266;2.87e-99;290;743
AT1G02010.4;XM_010524780.1;0.06039;0.6685;0.09034;84.87;589;694;74;2;31;626;90.2;11;704;704;99;99;11;673;673;0;1221;3158
AT1G02020.1;XM_010541949.2;0.1621;0.9829;0.1649;72.473;466;643;147;12;30;514;79.94;13;638;643;97;97;1;630;634;0;887;2292
AT1G02040.1;XM_010524791.1;0.1822;1.287;0.1416;66.154;129;195;51;3;15;151;77.44;103;296;325;60;60;25;205;228;1.05e-68;214;546
AT1G02050.1;NewID_00068882;0.06948;0.8027;0.08656;84.848;336;396;53;3;7;367;92.68;1;392;396;99;99;1;393;394;0;692;1785
AT1G02060.1;XM_010546060.1;0.1537;0.7919;0.1941;73.802;493;668;172;2;3;566;84.73;32;698;711;94;94;9;674;677;0;998;2579
AT1G02065.1;XM_010541937.2;0.2457;NA;NA;53.943;171;317;99;10;47;205;64.67;1;315;334;94;94;2;273;287;1.49e-88;267;683
AT1G02070.1;XM_010541935.2;0.1778;0.582;0.3055;67.176;88;131;40;3;3;98;74.81;2;132;132;99;99;5;132;132;1.33e-51;160;404
AT1G02080.1;XM_010541929.1;0.1344;0.6751;0.1991;75.311;1818;2414;557;15;39;2058;85.25;54;2432;2432;98;98;1;2410;2410;0;3657;9483
AT1G02090.1;NewID_00160776;0.1226;0.7378;0.1662;80.309;208;259;51;0;0;229;88.42;1;259;261;99;99;1;259;260;2.81e-158;440;1132
AT1G02090.2;NewID_00158450;0.1206;0.7557;0.1597;80.804;181;224;43;0;0;200;89.29;1;224;226;99;99;1;224;248;1.5e-136;383;984
AT1G02090.3;NewID_00160778;0.1268;0.7571;0.1675;81.333;183;225;42;0;0;201;89.33;1;225;238;95;95;1;225;228;8.3e-137;384;985
AT1G02100.1;XM_010524800.1;0.08607;0.649;0.1326;82.789;279;337;48;2;10;302;89.61;1;332;333;99;99;1;332;339;0;578;1489
AT1G02120.1;XM_010546054.2;0.218;0.7625;0.2858;60.876;389;639;197;13;53;473;74.02;1;595;599;99;99;1;630;638;0;722;1864
AT1G02130.1;XM_010546051.2;0.02986;0.7852;0.03804;93.137;190;204;14;0;0;200;98.04;1;204;204;100;100;1;204;204;3.96e-146;405;1040
AT1G02140.1;XM_010546049.1;0.02622;0.6341;0.04136;93.377;141;151;8;1;2;146;96.69;1;151;151;100;100;1;149;149;3.03e-102;290;741
AT1G02145.1;XM_010541907.1;0.1297;0.5374;0.2413;76.2;381;500;113;3;6;424;84.8;1;494;494;100;100;3;502;502;0;759;1959
AT1G02150.1;NewID_00069032;0.1583;0.7744;0.2044;74.248;395;532;118;5;19;441;82.89;11;525;525;98;98;10;539;539;0;789;2037
AT1G02160.1;NewID_00068794;0.03911;0.3729;0.1049;86.111;62;72;6;1;4;65;90.28;1;72;72;100;100;1;68;68;9.98e-38;120;301
AT1G02170.1;XM_010541903.2;0.04418;0.8483;0.05209;85.598;315;368;36;4;17;330;89.67;1;368;368;100;100;1;351;351;0;628;1620
AT1G02180.1;XM_010546048.1;0.2535;0.8549;0.2965;70.787;126;178;51;1;1;147;82.58;20;196;227;78;78;24;201;226;1.41e-91;269;687
AT1G02190.1;XM_010541179.2;0.1791;0.9919;0.1806;70.701;444;628;172;8;12;521;82.96;1;624;628;99;99;87;706;708;0;887;2291
AT1G02205.3;XM_010521920.2;0.1387;0.8825;0.1572;75.517;475;629;148;2;6;539;85.69;1;629;631;99;99;1;623;632;0;987;2552
AT1G02260.1;NewID_00077638;0.1134;1.1;0.1031;76.262;408;535;89;10;38;450;84.11;1;503;503;100;100;1;529;529;0;775;2001
AT1G02270.1;NewID_00077640;0.1739;0.8145;0.2135;68.635;337;491;135;5;19;387;78.82;11;485;485;98;98;22;509;509;0;682;1760
AT1G02280.1;NewID_00134429;0.07043;0.5762;0.1222;85.906;256;298;42;0;0;281;94.3;1;298;298;100;100;1;298;298;0;538;1387
AT1G02290.1;XM_010524568.2;0.3731;0.881;0.4235;42.981;199;463;190;13;74;249;53.78;1;442;444;99;99;1;410;414;2.48e-99;303;777
AT1G02305.1;XM_010544521.2;0.127;0.8727;0.1455;78.67;284;361;74;3;3;314;86.98;1;361;363;99;99;1;358;360;0;591;1524
AT1G02310.1;XM_010524563.1;0.1852;0.9708;0.1907;68.704;281;409;112;6;16;333;81.42;1;402;412;98;98;27;426;434;0;580;1495
AT1G02330.1;NewID_00134431;0.1015;0.9328;0.1088;81.206;229;282;45;5;8;255;90.43;1;280;280;100;100;1;276;276;1.37e-159;445;1144
AT1G02335.1;XM_010524561.2;0.1085;1.189;0.09121;81.651;178;218;40;0;0;192;88.07;2;219;220;99;99;1;218;220;6.34e-130;365;937
AT1G02340.2;XM_010558368.1;0.5035;1.326;0.3798;37.849;95;251;93;12;63;118;47.01;57;277;286;77;77;93;310;326;1.36e-27;109;272
AT1G02370.1;XM_010544536.1;0.2343;0.8483;0.2762;61.121;327;535;188;3;20;407;76.07;4;538;538;99;99;4;518;518;0;675;1741
AT1G02380.1;XM_010524526.2;0.2572;0.6224;0.4131;59.657;139;233;86;7;8;184;78.97;1;228;232;98;98;1;230;233;1.69e-73;223;569
AT1G02390.1;XM_010524528.1;0.196;1.048;0.187;66.917;356;532;155;10;21;430;80.83;5;531;531;99;99;4;519;519;0;713;1840
AT1G02400.1;XM_010558380.2;0.1308;0.8741;0.1496;77.744;255;328;72;1;1;285;86.89;1;327;330;99;99;1;328;331;0;538;1386
AT1G02410.1;XM_010544533.2;0.1511;0.7163;0.211;72.185;218;302;66;5;18;243;80.46;1;287;288;99;99;1;299;302;2.01e-154;433;1114
AT1G02420.1;XM_019202804.1;0.117;0.8032;0.1457;78.689;384;488;96;4;8;425;87.09;2;485;492;98;98;1;484;489;0;789;2037
AT1G02430.1;XM_010524535.2;0.2672;0.9261;0.2885;61.905;117;189;64;3;8;142;75.13;1;187;191;98;98;1;183;187;3.66e-78;232;591
AT1G02460.1;XM_010524541.2;0.1264;1.17;0.108;83.886;354;422;66;2;2;386;91.47;68;489;492;86;86;65;484;486;0;738;1904
AT1G02470.1;XM_010524542.1;0.2791;1.078;0.2589;59.193;132;223;81;4;10;163;73.09;3;220;221;99;99;2;219;222;1.69e-86;255;652
AT1G02475.1;XM_010524545.2;0.185;1.007;0.1838;70.136;155;221;60;2;6;170;76.92;1;220;220;100;100;1;216;216;5.44e-103;297;760
AT1G02500.1;XM_010525586.1;0.0303;1.118;0.02711;93.655;369;394;25;0;0;383;97.21;1;394;394;100;100;1;394;394;0;739;1909
AT1G02560.1;XM_010558388.1;0.05776;0.5919;0.09759;88.255;263;298;35;0;0;278;93.29;1;298;299;99;99;1;298;307;0;547;1410
AT1G02570.1;XM_010544537.1;0.2556;1.12;0.2281;60.072;167;278;89;9;22;194;69.78;1;265;279;95;95;6;274;285;1.05e-97;288;738
AT1G02610.1;XM_010558394.2;0.1982;1.029;0.1926;62.162;138;222;74;3;10;166;74.77;1;221;222;99;99;1;213;217;1.69e-72;219;559
AT1G02630.1;XM_010537561.2;0.1173;0.9485;0.1237;77.834;309;397;80;4;8;355;89.42;1;390;390;100;100;1;396;396;0;612;1579
AT1G02640.1;XM_010524520.2;0.08997;0.8659;0.1039;85.471;653;764;107;2;4;695;90.97;8;769;769;99;99;7;768;768;0;1359;3517
AT1G02660.1;XM_010524519.2;0.1781;0.9815;0.1814;67.251;499;742;197;15;46;579;78.03;1;706;714;99;99;1;732;733;0;868;2244
AT1G02670.3;XM_010524050.1;0.2254;0.8646;0.2607;58.295;383;657;161;7;113;449;68.34;87;690;691;87;87;102;698;700;0;723;1867
AT1G02680.1;NewID_00157405;0.08028;0.9648;0.08322;81.25;104;128;17;3;7;116;90.62;1;124;127;98;98;1;125;130;9.79e-70;206;523
AT1G02690.2;XM_010558407.1;0.1279;0.9789;0.1307;75.556;408;540;119;4;13;464;85.93;1;540;540;100;100;1;527;527;0;833;2153
AT1G02700.1;XM_010524515.2;0.2477;0.9608;0.2578;61.111;77;126;41;4;8;96;76.19;3;122;248;48;48;1;124;128;1.75e-41;139;349
AT1G02730.1;NewID_00134455;0.06017;0.8691;0.06924;86.566;1031;1191;143;10;17;1107;92.95;1;1182;1182;100;100;1;1183;1183;0;2056;5327
AT1G02740.1;XM_010539828.1;0.217;0.8074;0.2688;63.914;209;327;115;1;3;255;77.98;1;327;328;99;99;1;324;328;2.98e-147;418;1074
AT1G02790.1;NewID_00134466;0.2156;1.242;0.1735;67.529;287;425;133;3;5;345;81.18;1;423;423;100;100;1;422;422;0;588;1516
AT1G02810.1;XM_010524498.1;0.1256;0.9647;0.1302;77.032;436;566;106;8;24;489;86.4;16;578;580;97;97;20;564;566;0;893;2307
AT1G02840.1;XM_010558437.1;0.07992;0.5701;0.1402;78.231;230;294;52;3;12;247;84.01;1;293;304;96;96;1;283;296;1.11e-135;386;992
AT1G02860.1;XM_010558438.2;0.15;0.9315;0.161;76.261;257;337;75;3;5;294;87.24;1;336;336;100;100;1;333;333;0;507;1306
AT1G02870.1;XM_010524488.1;0.1568;0.9649;0.1625;72.917;140;192;52;0;0;169;88.02;1;192;194;99;99;1;192;195;2.37e-109;311;797
AT1G02880.3;XM_010558442.1;0.1281;0.8867;0.1445;78.125;200;256;54;1;2;224;87.5;4;257;268;95;95;1;256;259;3.87e-148;415;1066
AT1G02880.4;NewID_00141096;0.1258;1.082;0.1163;80;136;170;34;0;0;151;88.82;1;170;181;94;94;1;170;173;2.65e-99;284;727
AT1G02900.1;XM_010524480.1;0.1709;1.686;0.1014;68.595;83;121;29;4;9;93;76.86;1;121;121;100;100;1;112;112;9.24e-51;157;396
AT1G02910.1;XM_010524876.1;0.1111;0.6893;0.1612;80.624;362;449;82;2;5;394;87.75;10;454;454;98;98;2;449;449;0;703;1815
AT1G02950.1;XM_010524471.1;0.2449;1.787;0.137;66.667;156;234;74;3;4;190;81.2;2;232;244;95;95;3;235;249;4.95e-113;325;832
AT1G02960.2;XM_010558447.2;0.2639;0.631;0.4183;55.509;267;481;197;6;17;343;71.31;1;472;472;100;100;1;473;473;1.47e-171;491;1264
AT1G02970.1;XM_010524470.2;0.1616;0.922;0.1753;73.061;358;490;128;2;4;409;83.47;12;500;501;98;98;2;488;490;0;739;1909
AT1G02990.2;XM_010560541.1;0.3413;0.8345;0.409;49.596;307;619;268;15;44;387;62.52;637;1239;1239;49;49;31;621;621;3.96e-151;469;1206
AT1G03000.1;XM_010558458.2;0.1199;0.5614;0.2136;78.444;746;951;191;7;14;827;86.96;1;942;942;100;100;1;946;946;0;1481;3835
AT1G03010.1;XM_010558459.2;0.09158;1.116;0.08205;81.818;522;638;108;4;8;586;91.85;1;635;635;100;100;1;633;633;0;1065;2755
AT1G03010.2;XM_010558460.2;0.09669;1.149;0.08414;81.445;496;609;105;4;8;557;91.46;3;608;608;99;99;4;607;607;0;1006;2601
AT1G03020.1;XM_010524467.1;0.09894;2.202;0.04493;80.769;84;104;19;1;1;95;91.35;1;103;103;100;100;2;105;105;4.57e-57;172;435
AT1G03030.1;XM_010524462.1;0.1183;0.6533;0.1811;78.878;239;303;62;2;2;262;86.47;1;302;302;100;100;1;302;302;5.64e-174;483;1244
AT1G03050.1;XM_010524453.1;0.1199;1.247;0.0961;74.472;458;615;135;6;22;523;85.04;1;600;600;100;100;1;608;608;0;916;2367
AT1G03055.1;XM_010524455.2;0.289;1.095;0.2639;57.692;150;260;104;3;6;192;73.85;7;265;265;98;98;6;260;260;3.84e-107;311;796
AT1G03060.1;XM_010558467.2;0.06491;0.5012;0.1295;87.267;3139;3597;440;12;18;3342;92.91;1;3584;3602;99;99;10;3601;3602;0;6407;16622
AT1G03070.1;XM_010558471.2;0.08833;1.023;0.08632;82.996;205;247;39;1;3;227;91.9;1;247;248;99;99;1;244;246;1.6e-150;419;1078
AT1G03080.1;NewID_00137616;0.1953;0.6293;0.3104;64.872;1169;1802;550;19;83;1408;78.14;1;1734;1734;100;100;1;1787;1787;0;2125;5507
AT1G03090.1;XM_010524436.1;0.1068;0.692;0.1543;79.324;587;740;125;5;28;640;86.49;1;713;715;99;99;1;739;742;0;1177;3045
AT1G03100.1;XM_010524439.1;0.1277;0.7364;0.1734;74.844;598;799;171;9;30;671;83.98;1;794;794;100;100;1;774;774;0;1199;3103
AT1G03110.1;NewID_00157372;0.1415;0.7878;0.1797;74.828;327;437;98;3;12;362;82.84;3;428;428;99;99;2;437;437;0;659;1699
AT1G03120.1;XM_010558479.2;0.2129;1.585;0.1344;73.228;93;127;31;2;3;104;81.89;56;182;183;69;69;99;222;224;1.58e-46;152;384
AT1G03120.2;XM_019200997.1;0.1751;1.656;0.1058;69.737;53;76;20;2;3;62;81.58;57;132;136;56;56;5;77;115;9.92e-23;86.7;213
AT1G03130.1;XM_010524433.2;0.04226;0.8617;0.04904;88.038;184;209;20;2;5;189;90.43;1;205;205;100;100;1;208;208;1.53e-122;345;886
AT1G03140.1;XM_010544566.2;0.09842;1.072;0.09181;78.199;330;422;85;4;7;370;87.68;1;419;421;99;99;1;418;419;0;607;1564
AT1G03150.1;XM_010544567.1;0.01953;0.8705;0.02244;97.143;170;175;5;0;0;172;98.29;1;175;175;100;100;1;175;175;3.95e-128;357;916
AT1G03160.1;NewID_00159213;0.1304;0.6433;0.2028;75.454;707;937;202;8;28;800;85.38;1;913;913;100;100;1;933;933;0;1382;3577
AT1G03160.3;XM_010524425.1;0.1346;0.6735;0.1999;72.702;530;729;159;8;40;604;82.85;1;693;693;100;100;1;725;725;0;1030;2662
AT1G03180.1;XM_010524409.2;0.1431;0.581;0.2463;72.862;196;269;68;3;5;229;85.13;1;266;266;100;100;1;267;267;3.39e-142;400;1028
AT1G03180.3;XM_019201000.1;0.1508;0.5412;0.2785;73.224;134;183;45;2;4;151;82.51;1;180;180;100;100;1;182;182;9.24e-93;268;685
AT1G03190.1;XM_010558484.2;0.03386;0.728;0.04651;93.421;710;760;49;1;1;736;96.84;1;759;759;100;100;1;760;760;0;1485;3845
AT1G03220.1;XM_010524411.2;0.1752;1.175;0.1491;75.787;313;413;96;2;4;349;84.5;22;434;434;95;95;22;430;430;0;632;1630
AT1G03250.1;XM_010524404.2;0.1154;0.6348;0.1819;79.681;200;251;45;3;6;222;88.45;1;246;246;100;100;1;250;250;4.07e-144;403;1036
AT1G03260.1;XM_010524402.1;0.1424;0.5068;0.281;76.838;209;272;62;1;1;241;88.6;1;272;275;99;99;1;271;278;6.06e-143;403;1035
AT1G03270.1;XM_010524398.2;0.0994;0.6105;0.1628;77.515;393;507;81;7;33;427;84.22;1;495;500;99;99;1;486;489;0;741;1912
AT1G03280.1;XM_010538344.1;0.162;0.7687;0.2108;69.118;329;476;131;9;16;391;82.14;1;464;480;97;97;1;472;484;0;616;1588
AT1G03290.1;NewID_00157345;0.2934;0.8949;0.3279;50.66;307;606;182;14;117;374;61.72;1;560;572;98;98;1;535;537;3.46e-164;478;1231
AT1G03310.1;XM_010524397.1;0.1472;0.7278;0.2023;71.928;638;887;223;14;26;737;83.09;1;883;883;100;100;1;865;865;0;1260;3261
AT1G03330.1;XM_010524389.2;0.03311;0.5034;0.06577;94.681;89;94;5;0;0;92;97.87;1;94;94;100;100;1;94;94;6.41e-62;183;464
AT1G03350.1;XM_010524384.1;0.1558;0.7172;0.2172;64.744;303;468;117;6;48;361;77.14;1;462;471;98;98;1;426;435;0;533;1372
AT1G03360.1;XM_010544576.1;0.09151;0.8816;0.1038;82.958;258;311;49;1;4;287;92.28;1;311;323;96;96;1;307;319;0;546;1407
AT1G03370.1;XM_010543876.2;0.08302;0.5903;0.1406;83.301;848;1018;156;3;14;937;92.04;1;1012;1021;99;99;1;1010;1013;0;1790;4635
AT1G03380.1;XM_010524376.2;0.1675;0.5327;0.3145;69.831;662;948;246;10;40;744;78.48;2;924;960;96;96;1;933;934;0;1243;3217
AT1G03390.1;XM_010537690.2;0.1164;0.9373;0.1242;79.05;366;463;89;3;8;412;88.98;2;459;462;99;99;3;462;467;0;773;1995
AT1G03440.1;XM_010558493.2;0.08785;0.933;0.09416;84.343;334;396;61;1;1;369;93.18;3;398;398;99;99;9;403;403;0;687;1773
AT1G03470.1;XM_010524357.1;0.2395;1.427;0.1678;50.929;137;269;91;7;41;178;66.17;5;249;270;91;91;5;256;263;1.69e-73;226;575
